,n_neurons,n_iter,cap_size,n_rounds,beta_factor,a_sparsity,accuracy,type,a,b,n,p
0,3109,1545,201,6,1.405935554277616,0.2256412033327959,0.6543,beta,2.6234418167596494,1.6506312238408136,,
1,4060,1705,223,6,1.3628421748560775,0.09606662151082951,0.6487,uniform,,,,
2,3059,992,170,8,0.6267415209911766,0.21288916688416362,0.6487,uniform,,,,
3,4691,897,283,8,0.932591702301637,0.16833584249234756,0.6429,uniform,,,,
4,3702,1527,241,7,1.3742295198116892,0.14926070802521246,0.6411,beta,2.463660117424485,0.3019388044985604,,
5,4658,4356,270,10,1.27206234409984,0.16699698992624168,0.6407,uniform,,,,
6,2362,1572,168,8,0.5154326617095771,0.16569852267353696,0.6396000000000001,uniform,,,,
7,2626,727,255,10,1.1943660016187496,0.25936752800115787,0.6396,beta,2.732282552595451,0.1039620815127118,,
8,2742,1653,258,7,1.018542055871384,0.1669783721638933,0.6386000000000001,beta,2.1023016523999787,1.5585277633752923,,
9,2546,655,169,10,1.0033393962032469,0.255297349996961,0.6367999999999999,binomial,,,14305.0,0.3840463136261615
10,3776,2701,309,9,0.9557747205150117,0.21801138971983378,0.6352,binomial,,,35842.0,0.07813530984426645
11,5071,774,262,9,1.3184920930912605,0.10615022876198385,0.633,uniform,,,,
12,2260,1216,189,6,1.4478953296581547,0.056857613972652224,0.6317,uniform,,,,
13,3100,2949,163,8,1.2863385094808961,0.09100264686220944,0.6312,uniform,,,,
14,2290,1364,208,8,0.43250526802642475,0.09010141658476306,0.6309,binomial,,,22039.0,0.0741665170109041
15,3861,416,264,6,1.0089154652729746,0.1713356713498443,0.6308999999999999,beta,0.7362292800953842,1.7685963905511308,,
16,3006,2530,245,7,0.8924873740705248,0.111555777889816,0.6303,binomial,,,9373.0,0.32762627510470393
17,2975,2437,186,5,0.9684122179047101,0.11423389712091961,0.6279,uniform,,,,
18,2538,2282,191,7,1.0498300527142819,0.05152881328205884,0.6277,binomial,,,19023.0,0.16632725303940327
19,1618,1580,149,8,0.6100931697462735,0.2701856089715554,0.6257999999999999,uniform,,,,
20,3936,1594,329,10,0.5490730545962453,0.09820420456319912,0.6247,beta,0.6426384323649195,2.619892805104827,,
21,3126,1437,301,8,0.7298113615710347,0.0927190983009582,0.6224,uniform,,,,
22,2248,1340,195,6,1.4576311700032833,0.04972072458511945,0.6195,uniform,,,,
23,5485,3431,288,7,1.0303295996685715,0.26754445918451697,0.6167,uniform,,,,
24,2451,1914,148,6,0.40644965835159064,0.12235043308668059,0.6162000000000001,uniform,,,,
25,2817,286,176,5,0.8838982452491699,0.07661635613921794,0.6146,beta,0.31454657362985916,0.6472054324171784,,
26,5436,5088,335,10,0.8518342769321292,0.07577215811142665,0.6144000000000001,binomial,,,28291.0,0.381498977247812
27,3227,1820,249,5,0.9216778520442959,0.20273435571127632,0.6125999999999999,beta,0.8778106525953269,1.5905497277912537,,
28,4273,3961,279,9,1.3381278165595656,0.06314646488217987,0.6093999999999999,uniform,,,,
29,1712,1110,123,9,0.5959017560340388,0.24989939129335909,0.6091,beta,1.0118267750856158,0.7869870355082036,,
30,3227,1115,181,5,0.600831528276682,0.14613825061355548,0.6047,uniform,,,,
31,2193,1298,165,4,0.7040877771144921,0.16013713254535478,0.6038000000000001,uniform,,,,
32,2866,1184,211,4,0.7942596487476605,0.23885781052137767,0.6038,binomial,,,17496.0,0.33466890730371757
33,2542,956,158,3,1.3547918028161576,0.10904432872018355,0.6038,binomial,,,25017.0,0.3522959266846255
34,1712,1182,145,8,0.30417951246317165,0.19846628115868126,0.6037000000000001,binomial,,,1829.0,0.14022626408224906
35,2331,1200,138,5,0.9392094838724558,0.20625252756593568,0.5989,beta,0.616399373015977,0.8557776114792022,,
36,2016,1824,169,10,0.3722622013643372,0.1010838966221334,0.5987,beta,1.6030105559196113,0.1580932152304323,,
37,4001,3655,211,5,0.5972859467082202,0.21131032572883254,0.5974,uniform,,,,
38,2434,1432,202,8,0.3196208313267249,0.2730295505127451,0.5971000000000001,binomial,,,21097.0,0.31488396193337176
39,4350,2026,302,9,0.44247537425797856,0.23076061328715974,0.5969,uniform,,,,
40,3502,1286,182,3,1.4277893253795668,0.16539161458758078,0.5963,uniform,,,,
41,4702,657,322,7,1.4869702457737042,0.2911606153184847,0.5952,beta,1.029473270191383,2.3941235486164314,,
42,1936,803,188,7,0.39640078474235385,0.19176474131008567,0.5937,uniform,,,,
43,5696,2776,389,10,0.6507453029667779,0.24254186424781,0.5927,uniform,,,,
44,1416,1009,115,6,0.5670716856921296,0.14822157139251765,0.5911,beta,1.680320437755359,2.5465675868569244,,
45,4006,3559,381,8,1.230932340429122,0.18036411903493274,0.5909000000000001,binomial,,,16032.0,0.36956341658269637
46,1726,1352,120,8,1.3549477734054032,0.15219341852725535,0.5906,beta,0.6635973126806959,2.2587460159918606,,
47,2510,425,155,7,1.459212383707795,0.029294372102730885,0.5894,binomial,,,3625.0,0.3440402738532421
48,4259,1759,415,10,1.0975794497200295,0.13418584032239292,0.5861999999999999,beta,0.6819086251998265,0.8170226450157153,,
49,2800,2760,278,4,1.2991772800905421,0.17866477290414245,0.5852999999999999,binomial,,,12196.0,0.13313670494365798
50,3356,3187,279,6,0.6623906110578939,0.1575297141562963,0.5843999999999999,beta,2.037702409533738,1.0808175393991815,,
51,3591,2305,225,9,0.3115959837509682,0.1507746369660438,0.5841000000000001,beta,1.7282729971071875,1.904892063048263,,
52,1438,1243,120,5,0.914853853214793,0.2188685605398442,0.5831000000000001,binomial,,,14007.0,0.13363946467414714
53,1466,393,117,5,0.6134299775349664,0.22226447896845777,0.5821,binomial,,,5617.0,0.43062383741047355
54,2952,1103,220,3,1.4985275547763732,0.0382492427439264,0.5767,binomial,,,5911.0,0.25145165619386106
55,1328,1233,104,10,0.24359796977418594,0.2541915684907595,0.5759000000000001,binomial,,,8355.0,0.31218893943744785
56,5022,2492,286,4,0.9977186587745251,0.29976029070726845,0.5704,beta,1.7645834502500362,2.372765432981997,,
57,4954,981,377,7,1.2698158437063534,0.13334944761541875,0.5690000000000001,uniform,,,,
58,3333,1498,315,7,1.4789070886456497,0.058269328194225097,0.5647,beta,0.2947083110303584,2.2477060536579345,,
59,1460,1220,109,6,0.8406647086253497,0.28184784756343123,0.5643,uniform,,,,
60,3009,1728,221,4,0.682872246216027,0.0729160311833274,0.5635000000000001,beta,1.0087669059970954,2.815466359981313,,
61,1362,152,129,3,0.9261135366615771,0.23196494180609964,0.5626,binomial,,,948.0,0.27183026326045884
62,990,910,98,8,0.7031689929251302,0.17008619145721238,0.5594,beta,1.4744032267908023,1.78579337362902,,
63,2014,1260,106,4,1.2220122069430859,0.08655509278838117,0.5568,beta,2.320510117145498,1.597452903241833,,
64,2236,1914,131,3,0.8074253343818298,0.05140281795858444,0.5565,binomial,,,1763.0,0.3755842265025237
65,2346,1512,117,6,0.9165184138188787,0.20574359987233673,0.5502999999999999,beta,0.236543668744149,1.2544311019525387,,
66,3412,2496,237,5,0.4441355414888444,0.14763780866529796,0.5495,beta,2.4046870331863883,1.4689595014779013,,
67,2232,2164,116,10,0.30901185408910575,0.03226699431432806,0.5479999999999999,uniform,,,,
68,4245,1624,265,6,0.4448444574727328,0.18333040752504,0.5471999999999999,beta,1.9034726705425842,0.39164162814478276,,
69,1634,1380,92,7,0.701206168349104,0.2923436958821163,0.5466000000000001,uniform,,,,
70,5870,2909,423,8,1.0149555869240157,0.2759308646523805,0.5465,binomial,,,46082.0,0.2881610239946339
71,3351,392,253,6,0.5058370712959213,0.06927306957708063,0.5462,beta,1.6624730234248943,0.12144395464262939,,
72,3897,1821,307,6,0.5682802920666282,0.15942911819273275,0.5423,uniform,,,,
73,1844,336,134,10,0.35060182040557464,0.27108052844007424,0.5383,uniform,,,,
74,4896,3595,384,6,1.128109876541842,0.12277620880090312,0.5374,uniform,,,,
75,3991,2630,316,9,1.3326126272916363,0.03521235531426541,0.5351,uniform,,,,
76,1590,342,86,3,0.8098575957694317,0.26960545721967244,0.5307,binomial,,,1563.0,0.3509211331299589
77,1776,421,104,3,0.3644510994192921,0.2968831942008376,0.5282,uniform,,,,
78,5822,2783,294,4,1.2907126751910079,0.0270064760277907,0.5138999999999999,uniform,,,,
79,5712,4959,341,4,1.092698909640614,0.21249283544219713,0.5121,beta,2.720675109990222,0.2519740587795795,,
80,4992,2630,364,8,0.5088901713328581,0.07118195380656867,0.5006000000000002,beta,1.446361619021599,1.97103435058896,,
81,888,435,77,7,0.7457028370917828,0.17983581845721242,0.5,beta,1.9622616935993595,1.2905966921026997,,
82,1267,248,85,3,0.8002911910380911,0.1417310743181665,0.49940000000000007,beta,2.189703669028222,1.1679485018910762,,
83,5265,1678,474,8,0.8655590914404109,0.2637198926983595,0.49880000000000013,uniform,,,,
84,962,477,65,7,1.0290522756430232,0.1426796023967736,0.48180000000000006,uniform,,,,
85,2054,1002,170,4,0.29849858606783986,0.16251208462422637,0.47729999999999995,beta,0.7318163641925898,0.6002785635323213,,
86,838,734,69,6,1.2908644795587725,0.269345176727384,0.46390000000000003,beta,2.352681996630661,2.4378336631915936,,
87,822,537,68,4,0.9752211186042633,0.18663708061035827,0.45940000000000003,uniform,,,,
88,938,129,61,8,0.5526210884964451,0.07199423800023864,0.45499999999999996,binomial,,,6498.0,0.37870869291190584
89,2546,1640,218,3,0.34725362386177383,0.28505302374135527,0.4536999999999999,binomial,,,15299.0,0.3611462002763444
90,1212,989,82,6,0.6380724652978319,0.1870123412645785,0.4497999999999999,uniform,,,,
91,4480,2070,263,3,0.4405838282028558,0.21727246003994669,0.4406,binomial,,,43387.0,0.14774351074803685
92,2867,1520,269,3,1.0490425569989021,0.07785019046554713,0.4346,beta,2.6229023538398253,2.897953063569065,,
93,5506,4927,530,7,1.4385578849836644,0.18433867320916195,0.42399999999999993,beta,1.2746247089228342,1.8641710627379031,,
94,5866,3851,405,7,1.451904219501258,0.02940386085277877,0.4162,binomial,,,29407.0,0.36881685548852844
95,2845,451,262,7,0.1737074506236185,0.2382893109121943,0.4138,uniform,,,,
96,5981,1957,444,5,0.9316826303587254,0.1347435185159037,0.4093,beta,2.0114003759476753,0.5029448306443821,,
97,5310,2826,436,4,1.2720026681360384,0.2405330097317719,0.4058999999999999,uniform,,,,
98,5191,2003,511,7,0.8234569289203673,0.27195903984041225,0.40470000000000006,beta,0.5272852836259372,0.3817009941504039,,
99,920,545,71,9,0.39312353736226013,0.24524037672957835,0.4034000000000001,uniform,,,,
100,5846,2645,547,7,1.2358210590552354,0.14942973827705425,0.4025,uniform,,,,
101,4202,3212,407,6,0.5766107314087334,0.21488640094352254,0.39509999999999995,uniform,,,,
102,5092,1533,365,6,0.42932544903576875,0.10465287067973497,0.3882,uniform,,,,
103,3886,551,296,4,0.47696092099276066,0.2575766875057048,0.3841,binomial,,,28160.0,0.37823073725040873
104,849,365,52,3,1.459019563408434,0.1929942378608954,0.36550000000000005,uniform,,,,
105,4098,3114,363,6,0.43730671580593883,0.07332528587154205,0.3609,binomial,,,27656.0,0.28942046107030317
106,902,715,52,10,0.307008277668096,0.03609008203521338,0.34409999999999996,uniform,,,,
107,5628,5127,335,3,0.7111656508663547,0.13164501432706088,0.34400000000000003,binomial,,,24096.0,0.3874545411529302
108,5857,3479,564,5,0.8244780464959599,0.13692439713673082,0.33920000000000006,uniform,,,,
109,5717,1774,492,5,1.4976178009245416,0.030850502025232613,0.3354,uniform,,,,
110,4907,1021,439,3,1.1812479977769597,0.19951401441133315,0.3227,beta,1.9963594103591782,0.11013568379082862,,
111,5858,1677,452,3,1.00476059504065,0.2582610816392831,0.3161,binomial,,,20988.0,0.2947498701529519
112,4488,2381,427,4,0.634039209610573,0.18231431459221786,0.30999999999999994,binomial,,,13064.0,0.05917881933761065
113,1180,466,65,6,0.17816056280193757,0.24214618239405314,0.30870000000000003,binomial,,,5186.0,0.3578601130837172
114,4112,3594,374,7,0.32354194939880615,0.08477687549768315,0.3058,beta,0.9691021099131697,1.9116567254172163,,
115,801,693,66,3,0.6008198811873421,0.2677789030756712,0.2966,uniform,,,,
116,814,293,51,4,0.7077860177158318,0.2124778383696299,0.2907,uniform,,,,
117,4066,1403,329,5,0.21729935506563886,0.22648164176701455,0.29030000000000006,binomial,,,2969.0,0.30672540689441985
118,5416,3736,408,6,0.16996127752552895,0.21874810192687952,0.25699999999999995,uniform,,,,
119,4184,1956,417,4,0.436194273118796,0.13054327667078947,0.2486,uniform,,,,
120,5074,2850,389,6,0.14971963964904147,0.126611075078101,0.22329999999999997,beta,2.5414821124288958,0.2292527233071644,,
121,5560,4452,354,3,0.1812164576130529,0.10770295902178983,0.2061,beta,2.1881485783677923,2.0262299170147466,,
122,4169,3281,411,5,0.35016152565393077,0.03650891698907697,0.1921,uniform,,,,
123,5619,5322,452,3,0.3133483266929599,0.03204992433834357,0.16369999999999998,beta,1.922967677838253,0.1447163244482051,,
